name,birthday,phone,address,credit_card,email
Patricia Hartman,10/01/1956,(+57) 625-605-94-36,Palmares Casa 26,4094414556285990,Patricia@prueba.com
Anthony ñ Smith,1959-02-07,(+57) 186-929-73-91,Palmares Casa 27,30130188259195,Anthony@prueba.com
Zachary Roberts,1962-03-15,(+57) 594-640-29-51,Palmares Casa 28,11116477156832,Zachary@prueba.com
Amanda Rodriguez,65-04-20,(+57) 402-972-75-34,Palmares Casa 29,30967254822806,Amanda@prueba.com
Isaac Anderson,1968-05-28,(+57)338-526-89-54,Palmares Casa 30,36393340095824,Isaac@prueba.com
Mary Ortiz,1971-06-25,(+57) 469-450-78-07,Palmares Casa 31,38906169081175,Mary@prueba
Walter Harris,1974-07-26,(+57) 570-304-95-99,Palmares Casa 32,346221730392342,Walter@prueba.com
Carolyn Pope,1977-08-12,(+57) 299-610-83-82,Palmares Casa 33,370655309129859,Carolyn@prueba.com
Russell Eaton,1980-09-19,(+57) 548 590 87 69,Palmares Casa 34,372363870551480,Russell@prueba.com
Virginia Quinn,1983-10-17,(+57) 198 855 75 86,Palmares Casa 35,374550680581255,Virginia@prueba.com
